Id,SalePrice
1461,121417.3864674448
1462,160594.11548345326
1463,187034.43381019836
1464,193147.81861762155
1465,191733.31805102754
1466,176356.10560112676
1467,175765.77706865096
1468,163119.0951930937
1469,183760.82228657612
1470,126344.02471183128
1471,190582.3882203135
1472,95409.38752678229
1473,99105.50471388848
1474,150370.56532926462
1475,110822.70105360901
1476,351290.6748511982
1477,254739.77314361226
1478,295270.1370312715
1479,272781.4738302989
1480,504176.0397736416
1481,315153.88501524145
1482,202760.1374762574
1483,181192.5144366663
1484,171213.34223505374
1485,178023.12383332523
1486,194412.92736570322
1487,336273.8781898096
1488,232802.90871030663
1489,204146.12283688964
1490,224941.56509647067
1491,195529.5202287921
1492,95890.43467690532
1493,169255.8540332692
1494,285925.55720000557
1495,292044.2519703439
1496,237475.73012769117
1497,180859.69739232265
1498,169745.3469649245
1499,159721.1008294816
1500,156736.84850130652
1501,173320.42870555288
1502,153431.10214548424
1503,281464.11588756845
1504,238258.39062118088
1505,221241.56712997393
1506,186410.30457313554
1507,260114.7953967672
1508,191431.24035756954
1509,158004.0291982358
1510,145987.05147158777
1511,153769.20552330042
1512,172491.9912781029
1513,141588.29738704977
1514,148869.69186804412
1515,190836.44665738972
1516,148745.6696920438
1517,154569.39446683746
1518,133631.75956316155
1519,225759.91322309326
1520,133782.40625656137
1521,136474.27198670598
1522,167788.65128422962
1523,115112.50509793028
1524,123056.44472836464
1525,122278.70424755695
1526,119461.3695406146
1527,107225.95595277524
1528,133704.02799617397
1529,149043.79689079372
1530,174975.58707683076
1531,116925.54328208667
1532,101405.34023661415
1533,145415.682174453
1534,123080.40976389196
1535,150522.5295847731
1536,112646.65929017431
1537,70911.80606693753
1538,148472.21137132324
1539,194554.2204018087
1540,95201.59720492923
1541,135133.8582255697
1542,139547.51887668247
1543,191702.9974298999
1544,87256.4768727008
1545,104390.59087171179
1546,130275.1588799706
1547,134819.49062128802
1548,131563.27748560556
1549,116159.19910182116
1550,135060.59321578793
1551,115383.17192861407
1552,143693.83785522895
1553,139392.7394715771
1554,112638.06030153905
1555,169204.11884811346
1556,90343.17894588075
1557,113005.11658794385
1558,100132.01136551201
1559,78277.2781939178
1560,141642.7950127369
1561,127047.05298024559
1562,132711.33590517176
1563,120891.56651278224
1564,160141.74998763026
1565,146852.43867017023
1566,233988.51789446198
1567,84435.94839115668
1568,244924.3290772928
1569,146234.11654067715
1570,133930.41971845506
1571,122319.93055132625
1572,144688.18113553396
1573,225402.42841091577
1574,121675.4867815179
1575,212039.574950754
1576,232505.46445042413
1577,191796.23733532394
1578,140738.93874741442
1579,140978.9751592222
1580,192521.72906138407
1581,145249.901852451
1582,127338.95521768856
1583,321867.6245088138
1584,228783.07025619986
1585,143656.03954236087
1586,79695.51740989937
1587,101647.21754898284
1588,146094.74467290772
1589,102766.44378612157
1590,130926.28200952128
1591,94685.67975999828
1592,124543.11847544096
1593,121200.88400438023
1594,116864.7919754371
1595,112844.64032944378
1596,223913.02015378085
1597,189656.0147801693
1598,194844.35082686375
1599,168279.13454398216
1600,169902.81161291723
1601,70736.84124479472
1602,112403.50546908776
1603,72745.15878027718
1604,277591.51665772457
1605,243803.73882322854
1606,166921.19471327626
1607,161826.52837352882
1608,213770.45063625803
1609,186791.35089769104
1610,155999.23456976976
1611,140377.5817523651
1612,180232.3031747494
1613,169406.13580269142
1614,119116.92799688589
1615,86625.89582918887
1616,74522.86906628923
1617,89654.4423614911
1618,127667.31082153675
1619,140608.81010620182
